incident_id,source,place_name,distance_to_fire_m,place_type,place_role,matched_within_radius_m,address,additional_info,osm_type,osm_id,google_place_id,place_latitude,place_longitude
INC201,google,All Brands Factory Outlet,1.32,discount_store,place,200,"Tarik l matar, Bayrut, Lebanon",google_primary_type=discount_store; google_types=shopping_mall|discount_store|store|point_of_interest|establishment,,,ChIJwQ5_5i8XHxUR6QM5akb_7eo,33.8937882,35.5017987
INC201,google,Beirut Badawi Modern Apartment,1.98,lodging,place,200,"Beirut, Lebanon",google_primary_type=lodging; google_types=lodging|point_of_interest|establishment,,,ChIJN9BOX-AWHxUR9AYgiTigARI,33.8937912,35.5017814
INC201,google,Beirut Spacious Loft,1.98,lodging,place,200,"Beirut, Lebanon",google_primary_type=lodging; google_types=lodging|point_of_interest|establishment,,,ChIJN9BOX-AWHxURTPnCce0PQlI,33.8937912,35.5017814
INC201,google,Boho 1 Mandala Studio W-24-24 Power in Mar Mikhael,2.28,lodging,place,200,"Beirut, Lebanon",google_primary_type=lodging; google_types=lodging|point_of_interest|establishment,,,ChIJfyxPX-AWHxURj5eEVfPflos,33.8937912,35.5017777
INC201,google,Mar Makhayel Studios,2.28,lodging,place,200,"Beirut, Lebanon",google_primary_type=lodging; google_types=lodging|point_of_interest|establishment,,,ChIJfyxPX-AWHxUROv2h9td8Axk,33.8937912,35.5017777
INC201,google,Seaview 602 1-BR Apartment by Gate 9 in Mar Mikhael,2.28,lodging,place,200,"Beirut, Lebanon",google_primary_type=lodging; google_types=lodging|point_of_interest|establishment,,,ChIJfyxPX-AWHxURY8qTLVjosdE,33.8937912,35.5017777
INC201,google,Chaar Real Estate,2.35,real_estate_agency,place,200,"Mar Elias, Main, Facing Byblos Bank, 6th Floor, بيروت، Lebanon",google_primary_type=real_estate_agency; google_types=real_estate_agency|service|point_of_interest|establishment,,,ChIJue1_FawXHxUR1e2Cku9j99I,33.893791,35.501777
INC201,google,Cyber Vision Solutions s.a.r.l,2.35,service,place,200,"Boulevard National, Bayrut 0000, Lebanon",google_primary_type=service; google_types=service|point_of_interest|establishment,,,ChIJGVr0nJ0_HxURFttaKfWisXs,33.893791,35.501777
INC201,google,Dawaer Foundation,2.35,non_profit_organization,place,200,"Forn El Chebbak, Lebanon",google_primary_type=non_profit_organization; google_types=non_profit_organization|point_of_interest|association_or_organization|establishment,,,ChIJRRZIjCQXHxURsK65jMXWIMs,33.893791,35.501777
INC201,google,Gargour Asia Lebanon,2.35,truck_dealer,place,200,"Gallery semaan, Bayrut, Lebanon",google_primary_type=truck_dealer; google_types=truck_dealer|store|point_of_interest|establishment,,,ChIJh575YeRDHxUR8ugWc5aJEP4,33.893791,35.501777
INC201,google,Housein Slim Photography,2.35,service,place,200,"Ain El Remmaneh, Lebanon",google_primary_type=service; google_types=service|point_of_interest|establishment,,,ChIJ_Y3tDwoXHxURwTO7GX3uIVE,33.893791,35.501777
INC201,google,International Paper Broker,2.35,wholesaler,place,200,"Rageb Harb، Haret Hreik, Lebanon",google_primary_type=wholesaler; google_types=wholesaler|manufacturer|point_of_interest|establishment,,,ChIJQzatjc4XHxURtguTTt_9gHg,33.893791,35.501777
INC201,google,"Ismod Lebanon, iQos Lebanon , Galaxy pro",2.35,electronics_store,place,200,"Street, tal3it yazbeck, بيروت، Lebanon",google_primary_type=electronics_store; google_types=electronics_store|store|point_of_interest|establishment,,,ChIJwVdrKG8XHxURq4SyBpWDuI8,33.893791,35.501777
INC201,google,Iziingubo,2.35,womens_clothing_store,place,200,"Beirut 0000, Lebanon",google_primary_type=womens_clothing_store; google_types=womens_clothing_store|clothing_store|store|point_of_interest|establishment,,,ChIJhdzngG-aIEcRsqCdLFB4jf0,33.893791,35.501777
INC201,google,PRATEATO,2.35,real_estate_agency,place,200,"Foch Street, Marfaa 128 Building، FFA Real Estate, 4th Floor، Beirut Central District، Lebanon",google_primary_type=real_estate_agency; google_types=real_estate_agency|service|point_of_interest|establishment,,,ChIJJy1PX-AWHxURwJ4WG2QA7hs,33.893791,35.501777
INC201,google,SRDB LAW FIRM BEIRUT,2.35,lawyer,place,200,"26, 28 Badaro Street، Box : 116-2064، Bayrut, Lebanon",google_primary_type=lawyer; google_types=lawyer|consultant|service|point_of_interest|establishment,,,ChIJJy1PX-AWHxURAoWb5SSw7Gg,33.893791,35.501777
INC201,google,Sky Lounge Services,2.35,aircraft_rental_service,place,200,"General Aviation Terminal, Rafic Hariri Int'l Airport, بيروت، Lebanon",google_primary_type=aircraft_rental_service; google_types=aircraft_rental_service|transportation_service|service|point_of_interest|establishment,,,ChIJw40kHNQXHxURGMRbgb1qq3s,33.893791,35.501777
INC201,google,TrainerMohammad.com,2.35,google_place,place,200,"Youssef El Assir Street، Shahine Building، 5th Floor، El Medawar House، Bayrut, Lebanon",google_primary_type=google_place; google_types=consultant|educational_institution|service|point_of_interest|establishment,,,ChIJV-pu3fUXHxUR3gwZwCrpjv8,33.893791,35.501777
INC201,google,American Style Outlet,2.36,shopping_mall,place,200,"beirut barbour، بيروت،، Bayrut, Lebanon",google_primary_type=shopping_mall; google_types=shopping_mall|point_of_interest|establishment,,,ChIJk06KJ3QXHxUR7b8qWhVCcgk,33.8937912,35.5017767
INC201,google,صيدلية الظريف,2.36,hospital,place,200,"VGV2+GP6, Beirut, Lebanon",google_primary_type=hospital; google_types=hospital|health|service|point_of_interest|establishment,,,ChIJxSf1-CMXHxUR-pdsDbg_DbE,33.8937912,35.5017767
INC201,osm,UNESCO entrance,41.92,other,mapped_object,200,,,node,9495169395.0,,33.893952,35.5022156
INC201,osm,Unnamed man_made:bridge,42.39,man_made:bridge,infrastructure,200,,man_made=bridge,way,778215955.0,,33.8934979,35.5015198
INC201,osm,Unnamed military:checkpoint,61.02,military:checkpoint,military,200,,military=checkpoint,node,6497709288.0,,33.8941291,35.502329
INC201,osm,No through road,100.34,amenity:police,place,200,شارع 21,amenity=police,node,8100724617.0,,33.8929058,35.501946
INC201,osm,United Nations Economic and Social Commission for Western Asia,100.67,office:diplomatic,place,200,,office=diplomatic,node,6069448586.0,,33.8946793,35.5020599
INC201,osm,Unnamed amenity:parking,101.56,amenity:parking,place,200,,amenity=parking,way,546140448.0,,33.8941262,35.5028278
INC201,osm,Unnamed building,103.14,building:commercial,building,200,,building=commercial,way,483239204.0,,33.8946945,35.5020955
INC201,osm,Unnamed building,110.73,building:yes,building,200,,building=yes,way,529578907.0,,33.8931572,35.5008838
INC201,osm,National Evangelical Church of Beirut,111.53,amenity:place_of_worship,building,200,"شارع أحمد الداعوق, بيروت",building=church; amenity=place_of_worship,way,479475562.0,,33.8947526,35.5014218
INC201,osm,Phoenicia,115.81,amenity:fuel,place,200,,amenity=fuel; brand=Medco,node,7417545305.0,,33.8928411,35.5022898
INC201,osm,Unnamed building,119.77,building:yes,building,200,,building=yes,way,529578908.0,,33.8933835,35.5006033
INC201,osm,Unnamed building,123.28,building:yes,building,200,,building=yes,way,546506380.0,,33.8927027,35.5016089
INC201,osm,Unnamed amenity:parking,128.62,amenity:parking,place,200,,amenity=parking,way,438761510.0,,33.8943725,35.5005892
INC201,osm,Unnamed building,128.8,building:yes,building,200,,building=yes,way,483074289.0,,33.8928034,35.5025112
INC201,osm,Unnamed building,136.26,building:yes,building,200,,building=yes,way,489235082.0,,33.8947935,35.5009357
INC201,osm,Unnamed building,136.65,building:yes,building,200,,building=yes,way,546506382.0,,33.8925745,35.5016895
INC201,osm,Unnamed building,141.15,building:yes,building,200,,building=yes,way,489235084.0,,33.8946135,35.500626
INC201,osm,Unnamed building,141.31,building:commercial,building,200,,building=commercial,way,483239205.0,,33.8950214,35.502223
INC201,osm,Unnamed building,144.57,building:yes,building,200,,building=yes,way,546506381.0,,33.8925159,35.5015548
INC201,osm,Unnamed building,148.33,building:yes,building,200,,building=yes,way,529578909.0,,33.8931525,35.500395
INC201,osm,Unnamed building,151.71,building:yes,building,200,,building=yes,way,223137118.0,,33.8939984,35.5034262
INC201,osm,Unnamed building,153.24,building:yes,building,200,,building=yes,way,546140472.0,,33.8926979,35.5008032
INC201,osm,Unnamed building,154.24,building:yes,building,200,,building=yes,way,530829797.0,,33.8924405,35.5021316
INC201,osm,Unnamed building,155.33,building:yes,building,200,,building=yes,way,529578910.0,,33.8935139,35.5001528
INC201,osm,Unnamed amenity:parking,157.64,amenity:parking,place,200,,amenity=parking,way,194545122.0,,33.8933609,35.5034239
INC201,osm,Unnamed building,163.61,building:yes,building,200,,building=yes,way,529578911.0,,33.893368,35.5001055
INC201,osm,Unnamed building,164.78,building:yes,building,200,,building=yes,way,546140471.0,,33.8928378,35.5004422
INC201,osm,The Landmark,165.27,other,mapped_object,200,,contact:website=http://www.landmarklb.com/,way,23856429.0,,33.8946353,35.503281
INC201,osm,Unnamed building,172.56,building:yes,building,200,,building=yes,way,529578927.0,,33.8937361,35.499932
INC201,osm,Rafiq Hariri,173.6,tourism:artwork,place,200,,tourism=artwork,node,4815020860.0,,33.8952402,35.501074
INC201,osm,Unnamed building,174.58,building:yes,building,200,,building=yes,way,546506379.0,,33.89223,35.5018066
INC201,osm,Unnamed building,174.93,building:yes,building,200,,building=yes,way,546506384.0,,33.8922578,35.5014256
INC201,osm,Unnamed tourism:artwork,177.03,tourism:artwork,place,200,,tourism=artwork,node,4815020861.0,,33.8950806,35.5029396
INC201,osm,Unnamed amenity:parking,177.41,amenity:parking,place,200,,amenity=parking,way,1180744514.0,,33.8949634,35.5031153
INC201,osm,Place Riad El-Solh,179.17,other,mapped_object,200,,,way,34380915.0,,33.8950857,35.50297
INC201,osm,Unnamed building,180.78,building:yes,building,200,,building=yes,way,485318877.0,,33.8949108,35.5003698
INC201,osm,Unnamed building,181.93,building:yes,building,200,,building=yes,way,529578913.0,,33.8932274,35.4999536
INC201,osm,Unnamed building,182.19,building:yes,building,200,,building=yes,way,479676540.0,,33.8928596,35.5001836
INC201,osm,Unnamed building,184.47,building:yes,building,200,,building=yes,way,750192121.0,,33.8937044,35.4998047
INC201,osm,Unnamed building,185.38,building:yes,building,200,,building=yes,way,1136378300.0,,33.892391,35.5007265
INC201,osm,Unnamed building,185.69,building:yes,building,200,,building=yes,way,529578912.0,,33.8934213,35.4998406
INC201,osm,Unnamed building,187.8,building:yes,building,200,,building=yes,way,546506385.0,,33.8921153,35.5016569
INC201,osm,Unnamed building,190.23,building:yes,building,200,,building=yes,way,1410979544.0,,33.8947901,35.5001192
INC201,osm,Unnamed building,192.59,building:yes,building,200,,building=yes,way,529578914.0,,33.8930729,35.4999062
INC201,osm,Unnamed building,195.74,building:yes,building,200,,building=yes,way,529578928.0,,33.8938621,35.4996806
INC202,google,OCHA Lebanon,15.23,corporate_office,place,200,VGV2+RRX، بيروت، Lebanon,google_primary_type=corporate_office; google_types=corporate_office|point_of_interest|establishment,,,ChIJgyZs5OYWHxURSfEsZjBumfA,33.8946079,35.5021017
